Report Number,row_id,URL,Congress,Accompanies,Title,Committee,Legislation Number,Sponsor,Date of Introduction,Committees,Latest Action,Latest Action Date,Number of Cosponsors,Amends Bill,Date Offered,Date Submitted,Date Proposed,Amends Amendment,Issue Date,Section,Volume,Number,Page,Meeting Title,Chamber,Meeting Date,Citation,Committee Print Date,Bill,House Communication Number,CR Date,Abstract,Senate Communication Number
0,row_8884,https://www.congress.gov/amendment/112th-congress/house-amendment/309,112th Congress (2011-2012),0,"Amendment sought to give manufacturers the opportunity to provide information to DoD regarding how their bid for a contract will affect domestic employment. It would have allowed the DoD to take this information into consideration, but would not have mandated that DoD consider this information when awarding the contract.",0,H.Amdt. 309,"Murphy, Christopher [Rep.-D-CT-5]",0,0,On agreeing to the Murphy (CT) amendment (A009) Failed by recorded vote: 208 - 212 (Roll no. 346). ,5/25/2011,0,H.R. 1540,5/25/2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,row_8885,https://www.congress.gov/amendment/112th-congress/house-amendment/308,112th Congress (2011-2012),0,Amendment sought to strike Section 937 of the bill relating to Modification of Temporary Suspension of Public-Private Competitions for Conversion of Department of Defense Functions to Contractor Performance.,0,H.Amdt. 308,"Sarbanes, John P. [Rep.-D-MD-3]",0,0,On agreeing to the Sarbanes amendment (A008) Failed by recorded vote: 198 - 225 (Roll no. 345). ,5/25/2011,0,H.R. 1540,5/25/2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,row_8888,https://www.congress.gov/amendment/112th-congress/house-amendment/305,112th Congress (2011-2012),0,"Amendment sought to create a five-year pilot program to provide opportunity scholarships to dependent children with special education needs. Opportunity scholarships would have been set at $7,500 a year and would have been available to approximately 250 children under the pilot program for the purpose of attending a private, public or charter school of choice. The Department of Defense would have administered the program, in coordination with the Secretary of Education.",0,H.Amdt. 305,"Hunter, Duncan D. [Rep.-R-CA-52]",0,0,On agreeing to the Hunter amendment (A005) Failed by recorded vote: 203 - 213 (Roll no. 344). ,5/25/2011,0,H.R. 1540,5/25/2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,row_8897,https://www.congress.gov/congressional-record/volume-157/issue-69/senate-section/article/S3069-2,0,0,"OFFSHORE PRODUCTION AND SAFETY ACT OF 2011--MOTION TO PROCEED; Congressional Record Vol. 157, No. 69",0,0,0,0,0,0,0,0,0,0,0,0,0,5/18/2011,0,157,69,S3069,0,0,0,0,0,0,0,0,0,0
0,row_8925,https://www.congress.gov/event/112th-congress/senate-event/LC3318/text,112th,0,0,Senate Appropriations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"S.Hrg. 112-439 — COMMERCE, JUSTICE, SCIENCE, AND RELATED AGENCIES APPROPRIATIONS FOR FISCAL YEAR 2012",Senate,2011-03-10T05:00:00Z,0,0,0,0,0,0,0
0,row_8922,https://www.congress.gov/event/112th-congress/senate-event/LC3153/text,112th,0,0,"Senate Commerce, Science, and Transportation",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S.Hrg. 112-302 — THE STATE OF ONLINE CONSUMER PRIVACY,Senate,2011-03-16T04:00:00Z,0,0,0,0,0,0,0
0,row_8939,https://www.congress.gov/event/112th-congress/house-event/LC1210/text,112th,0,0,House Financial Services,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ARE THERE GOVERNMENT BARRIERS TO THE HOUSING MARKET RECOVERY?,House of Representatives,2011-02-16T05:00:00Z,0,0,0,0,0,0,0
0,row_8942,https://www.congress.gov/amendment/112th-congress/senate-amendment/81,112th Congress (2011-2012),0,To limit essential air service locations that average 10 or more enplanements per day.,0,S.Amdt. 81,"Coburn, Tom [Sen.-R-OK]",0,0,Amendment SA 81 agreed to in Senate by Voice Vote. ,2/17/2011,0,S. 223,0,2/14/2011,2/17/2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,row_8929,https://www.congress.gov/event/112th-congress/senate-event/LC1802/text,112th,0,0,Senate Appropriations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S.Hrg. 112-458 — LEGISLATIVE BRANCH APPROPRIATIONS FOR FISCAL YEAR 2012,Senate,2011-03-03T05:00:00Z,0,0,0,0,0,0,0
0,row_8957,https://www.congress.gov/amendment/112th-congress/senate-amendment/6,112th Congress (2011-2012),0,"To provide liability protection to volunteer pilot nonprofit organizations that fly for public benefit and to the pilots and staff of such nonprofit organizations, and for other purposes.",0,S.Amdt. 6,"Inhofe, James M. [Sen.-R-OK]",0,0,Proposed amendment SA 6 withdrawn in Senate. (consideration: CR S670-671),2/14/2011,0,S. 223,0,2/1/2011,2/3/2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,row_8955,https://www.congress.gov/amendment/112th-congress/senate-amendment/19,112th Congress (2011-2012),0,To limit the application of the Davis-Bacon Act in the case of projects funded under this Act.,0,S.Amdt. 19,"Paul, Rand [Sen.-R-KY]",0,0,Motion to table amendment SA 19 agreed to in Senate by Yea-Nay Vote. 55 - 42. Record Vote Number: 11. ,2/3/2011,2,S. 223,0,2/1/2011,2/3/2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,row_8965,https://www.congress.gov/congressional-record/volume-156/issue-171/senate-section/article/S10774-6,0,0,"START TREATY; Congressional Record Vol. 156, No. 171",0,0,0,0,0,0,0,0,0,0,0,0,0,12/20/2010,0,156,171,S10774,0,0,0,0,0,0,0,0,0,0
0,row_8979,https://www.congress.gov/event/111th-congress/house-event/LC7101/text,111th,0,0,Congressional-Executive Commission on China,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"WILL CHINA PROTECT INTELLECTUAL PROPERTY? NEW DEVELOPMENTS IN COUNTERFEITING, PIRACY, AND FORCED TECHNOLOGY TRANSFER",House of Representatives,2010-09-22T04:00:00Z,0,0,0,0,0,0,0
0,row_8990,https://www.congress.gov/congressional-record/volume-156/issue-113/senate-section/article/S6460-2,0,0,"SMALL BUSINESS LENDING FUND ACT OF 2010; Congressional Record Vol. 156, No. 113",0,0,0,0,0,0,0,0,0,0,0,0,0,7/29/2010,0,156,113,S6460,0,0,0,0,0,0,0,0,0,0
0,row_8987,https://www.congress.gov/congressional-record/volume-156/issue-116/senate-section/article/S6616-3,0,0,"NOMINATION OF ELENA KAGAN TO BE ASSOCIATE JUSTICE OF THE SUPREME COURT OF THE UNITED STATES--Continued; Congressional Record Vol. 156, No. 116",0,0,0,0,0,0,0,0,0,0,0,0,0,8/3/2010,0,156,116,S6616,0,0,0,0,0,0,0,0,0,0
H. Rept. 111-706,row_8961,https://www.congress.gov/congressional-report/111th-congress/house-report/706/1,111th Congress (2009-2010),0,REPORT ON THE ACTIVITY of the COMMITTEE ON ENERGY AND COMMERCE for the ONE HUNDRED ELEVENTH CONGRESS,House Energy and Commerce,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,row_8996,https://www.congress.gov/event/111th-congress/house-event/LC7135/text,111th,0,0,Congressional-Executive Commission on China,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHINA'S FAR WEST: CONDITIONS IN XINJIANG ONE YEAR AFTER DEMONSTRATIONS AND RIOTS,House of Representatives,2010-07-19T04:00:00Z,0,0,0,0,0,0,0
0,row_8997,https://www.congress.gov/event/111th-congress/house-event/LC5251/text,111th,0,0,House Veterans' Affairs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SERVING VIRGINIA'S RURAL VETERANS,House of Representatives,2010-07-19T04:00:00Z,0,0,0,0,0,0,0
0,row_9008,https://www.congress.gov/event/111th-congress/senate-event/LC5392/text,111th,0,0,Senate Armed Services,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S.Hrg. 111-897 — THE NEW STRATEGIC ARMS REDUCTION TREATY AND IMPLICATIONS FOR NATIONAL SECURITY,Senate,2010-06-17T04:00:00Z,0,0,0,0,0,0,0
0,row_8998,https://www.congress.gov/event/111th-congress/joint-event/LC70036/text,111th,0,0,Congressional-Executive Commission on China,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHINA'S FAR WEST: CONDITIONS IN XINJIANG ONE YEAR AFTER DEMONSTRATIONS AND RIOTS,Joint,2010-07-19T04:00:00Z,0,0,0,0,0,0,0
0,row_9000,https://www.congress.gov/event/111th-congress/senate-event/LC5562/text,111th,0,0,Senate Budget,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TASK FORCE HEARINGS,Senate,2010-07-12T04:00:00Z,0,0,0,0,0,0,0
0,row_9014,https://www.congress.gov/amendment/111th-congress/senate-amendment/4318,111th Congress (2009-2010),0,"To amend the Internal Revenue Code of 1986 to eliminate big oil and gas company tax loopholes, and to use the resulting increase in revenues to reduce the deficit and to invest in energy efficiency and conservation.",0,S.Amdt. 4318,"Sanders, Bernard [Sen.-I-VT]",0,0,"Proposed amendment SA 4318 under the order of 6/15/10, not having achieved 60 votes in the affirmative, the amendment was withdrawn in Senate. (consideration: CR S4926)",6/15/2010,5,H.R. 4213,0,6/9/2010,6/9/2010,S.Amdt. 4301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,row_9022,https://www.congress.gov/amendment/111th-congress/senate-amendment/4289,111th Congress (2009-2010),0,To require oil polluters to pay the full cost of oil spills.,0,S.Amdt. 4289,"Menendez, Robert [Sen.-D-NJ]",0,0,Proposed amendment SA 4289 withdrawn in Senate. (consideration: CR S4503),5/27/2010,7,H.R. 4899,0,5/26/2010,5/26/2010,S.Amdt. 4174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,row_9046,https://www.congress.gov/amendment/111th-congress/senate-amendment/3879,111th Congress (2009-2010),0,"To mandate minimum leverage and risk-based capital requirements for insured depository institutions, depository institution holding companies, and nonbank financial companies that the Council identifies for Board of Governors supervision as subject to prudential standards.",0,S.Amdt. 3879,"Collins, Susan M. [Sen.-R-ME]",0,0,Amendment SA 3879 agreed to in Senate by Unanimous Consent. ,5/13/2010,3,S. 3217,0,5/6/2010,5/12/2010,S.Amdt. 3739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H. Rept. 111-478,row_9044,https://www.congress.gov/congressional-report/111th-congress/house-report/478/1,111th Congress (2009-2010),H.R. 5116,AMERICA COMPETES REAUTHORIZATION ACT OF 2010,House Science and Technology,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,row_9054,https://www.congress.gov/amendment/111th-congress/house-amendment/624,111th Congress (2009-2010),0,Amendment sought to eliminate the first round of voting in Section 2 of the bill and insert an option for Commonwealth as a fourth option to the ballot. Amendment also sought to provide for a runoff process if no option received more than 50 percent of the vote that would be between the two options that received the most votes.,0,H.Amdt. 624,"Velazquez, Nydia M. [Rep.-D-NY-12]",0,0,On agreeing to the Velazquez amendment (A006) Failed by recorded vote: 112 - 285 (Roll no. 239). ,4/29/2010,0,H.R. 2499,4/29/2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,row_9062,https://www.congress.gov/event/111th-congress/senate-event/LC7127/text,111th,0,0,"Senate Health, Education, Labor, and Pensions",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S.Hrg. 111-1120 — ESEA REAUTHORIZATION: MEETING THE NEEDS OF SPECIAL POPULATIONS,Senate,2010-04-29T04:00:00Z,0,0,0,0,0,0,0
0,row_9075,https://www.congress.gov/event/111th-congress/house-event/LC5041/text,111th,0,0,House Financial Services,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HOUSING FINANCE--WHAT SHOULD THE PERSPECTIVES AND PROPOSALS ON THE COMMUNITY REINVESTMENT ACT,House of Representatives,2010-04-14T04:00:00Z,0,0,0,0,0,0,0
0,row_9081,https://www.congress.gov/event/111th-congress/house-event/LC6656/text,111th,0,0,House Transportation and Infrastructure,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"HEARING ON SNOW DISASTERS FOR LOCAL, STATE AND FEDERAL GOVERNMENTS IN THE NATIONAL CAPITAL REGION: RESPONSE AND RECOVERY PARTNERSHIPS WITH FEMA",House of Representatives,2010-03-23T04:00:00Z,0,0,0,0,0,0,0
0,row_9089,https://www.congress.gov/amendment/111th-congress/senate-amendment/3546,111th Congress (2009-2010),0,0,0,S.Amdt. 3546,"Coburn, Tom [Sen.-R-OK]",0,0,0,0,0,H.R. 1586,0,3/17/2010,0,S.Amdt. 3452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,row_9090,https://www.congress.gov/amendment/111th-congress/senate-amendment/3543,111th Congress (2009-2010),0,To authorize the FAA to provide financial assistance for NextGen equipage of aircraft.,0,S.Amdt. 3543,"Hutchison, Kay Bailey [Sen.-R-TX]",0,0,Amendment SA 3543 agreed to in Senate by Unanimous Consent. ,3/22/2010,3,H.R. 1586,0,3/17/2010,3/22/2010,S.Amdt. 3452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,row_9104,https://www.congress.gov/amendment/111th-congress/senate-amendment/3511,111th Congress (2009-2010),0,To require a semiannual report on the status of the Greener Skies project.,0,S.Amdt. 3511,"Cantwell, Maria [Sen.-D-WA]",0,0,Amendment SA 3511 agreed to in Senate by Unanimous Consent. ,3/22/2010,0,H.R. 1586,0,3/11/2010,3/22/2010,S.Amdt. 3452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,row_9117,https://www.congress.gov/amendment/111th-congress/senate-amendment/3479,111th Congress (2009-2010),0,To allow for the simultaneous inclusion of more than one General Aviation airport in the Military Airport Program.,0,S.Amdt. 3479,"Nelson, Bill [Sen.-D-FL]",0,0,Amendment SA 3479 as modified agreed to in Senate by Unanimous Consent. (text corrected as modified: CR S1809),3/22/2010,0,H.R. 1586,0,3/11/2010,3/22/2010,S.Amdt. 3452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,row_9092,https://www.congress.gov/event/111th-congress/house-event/LC5174/text,111th,0,0,House Financial Services,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EXAMINING THE LINK BETWEEN FED BANK SUPERVISION AND MONETARY POLICY,House of Representatives,2010-03-17T04:00:00Z,0,0,0,0,0,0,0
